Nom;Code département;Nom de la région;Population totale
Bourg-en-Bresse;01;Auvergne-Rhône-Alpes;43 454
Laon;02;Hauts-de-France;26 031
Saint-Quentin;02;Hauts-de-France;55 940
Soissons;02;Hauts-de-France;29 417
Montluçon;03;Auvergne-Rhône-Alpes;37 417
Gap;05;Provence-Alpes-Côte d'Azur;42 567
Antibes;06;Provence-Alpes-Côte d'Azur;74 982
Cagnes-sur-Mer;06;Provence-Alpes-Côte d'Azur;50 385
Cannes;06;Provence-Alpes-Côte d'Azur;75 046
Le Cannet;06;Provence-Alpes-Côte d'Azur;42 056
Grasse;06;Provence-Alpes-Côte d'Azur;51 705
Menton;06;Provence-Alpes-Côte d'Azur;28 942
Nice;06;Provence-Alpes-Côte d'Azur;345 998
Saint-Laurent-du-Var;06;Provence-Alpes-Côte d'Azur;28 831
Vallauris;06;Provence-Alpes-Côte d'Azur;26 787
Charleville-Mézières;08;Grand Est;48 420
Troyes;10;Grand Est;61 988
Carcassonne;11;Occitanie;47 418
Narbonne;11;Occitanie;55 001
Rodez;12;Occitanie;25 747
Aix-en-Provence;13;Provence-Alpes-Côte d'Azur;146 385
Arles;13;Provence-Alpes-Côte d'Azur;53 807
Aubagne;13;Provence-Alpes-Côte d'Azur;45 711
La Ciotat;13;Provence-Alpes-Côte d'Azur;35 758
Istres;13;Provence-Alpes-Côte d'Azur;44 248
Marignane;13;Provence-Alpes-Côte d'Azur;33 949
Marseille;13;Provence-Alpes-Côte d'Azur;870 018
Martigues;13;Provence-Alpes-Côte d'Azur;49 310
Miramas;13;Provence-Alpes-Côte d'Azur;26 217
Salon-de-Provence;13;Provence-Alpes-Côte d'Azur;46 225
Vitrolles;13;Provence-Alpes-Côte d'Azur;34 301
Caen;14;Normandie;108 461
Aurillac;15;Auvergne-Rhône-Alpes;27 659
Angoulême;16;Nouvelle-Aquitaine;44 629
La Rochelle;17;Nouvelle-Aquitaine;78 623
Saintes;17;Nouvelle-Aquitaine;26 890
Bourges;18;Centre-Val de Loire;67 841
Vierzon;18;Centre-Val de Loire;27 036
Brive-la-Gaillarde;19;Nouvelle-Aquitaine;48 333
Ajaccio;2A;Corse;70 063
Bastia;2B;Corse;45 596
Dijon;21;Bourgogne-Franche-Comté;159 031
Saint-Brieuc;22;Bretagne;47 058
Bergerac;24;Nouvelle-Aquitaine;28 166
Périgueux;24;Nouvelle-Aquitaine;31 505
Besançon;25;Bourgogne-Franche-Comté;120 107
Montbéliard;25;Bourgogne-Franche-Comté;26 015
Montélimar;26;Auvergne-Rhône-Alpes;39 924
Romans-sur-Isère;26;Auvergne-Rhône-Alpes;34 095
Valence;26;Auvergne-Rhône-Alpes;64 322
Évreux;27;Normandie;51 560
Chartres;28;Centre-Val de Loire;40 195
Dreux;28;Centre-Val de Loire;31 575
Brest;29;Bretagne;142 629
Quimper;29;Bretagne;66 743
Alès;30;Occitanie;41 129
Nîmes;30;Occitanie;154 196
Colomiers;31;Occitanie;39 200
Muret;31;Occitanie;25 961
Toulouse;31;Occitanie;482 738
Tournefeuille;31;Occitanie;27 008
Bègles;33;Nouvelle-Aquitaine;28 092
Bordeaux;33;Nouvelle-Aquitaine;256 045
Gradignan;33;Nouvelle-Aquitaine;26 029
Libourne;33;Nouvelle-Aquitaine;25 491
Mérignac;33;Nouvelle-Aquitaine;71 203
Pessac;33;Nouvelle-Aquitaine;62 737
Saint-Médard-en-Jalles;33;Nouvelle-Aquitaine;31 576
Talence;33;Nouvelle-Aquitaine;44 040
La Teste-de-Buch;33;Nouvelle-Aquitaine;26 525
Villenave-d'Ornon;33;Nouvelle-Aquitaine;33 091
Agde;34;Occitanie;28 120
Béziers;34;Occitanie;77 894
Lunel;34;Occitanie;26 263
Montpellier;34;Occitanie;286 098
Sète;34;Occitanie;44 271
Rennes;35;Bretagne;222 104
Saint-Malo;35;Bretagne;47 528
Châteauroux;36;Centre-Val de Loire;45 780
Joué-lès-Tours;37;Centre-Val de Loire;37 974
Tours;37;Centre-Val de Loire;139 963
Bourgoin-Jallieu;38;Auvergne-Rhône-Alpes;28 399
Échirolles;38;Auvergne-Rhône-Alpes;36 143
Grenoble;38;Auvergne-Rhône-Alpes;160 836
Saint-Martin-d'Hères;38;Auvergne-Rhône-Alpes;38 974
Vienne;38;Auvergne-Rhône-Alpes;30 178
Mont-de-Marsan;40;Nouvelle-Aquitaine;31 517
Blois;41;Centre-Val de Loire;47 524
Roanne;42;Auvergne-Rhône-Alpes;35 913
Saint-Chamond;42;Auvergne-Rhône-Alpes;35 969
Saint-Étienne;42;Auvergne-Rhône-Alpes;174 298
Nantes;44;Pays de la Loire;314 611
Orvault;44;Pays de la Loire;26 618
Rezé;44;Pays de la Loire;41 808
Saint-Herblain;44;Pays de la Loire;47 502
Saint-Nazaire;44;Pays de la Loire;72 295
Saint-Sébastien-sur-Loire;44;Pays de la Loire;27 591
Orléans;45;Centre-Val de Loire;118 102
Agen;47;Nouvelle-Aquitaine;34 565
Angers;49;Pays de la Loire;155 543
Cholet;49;Pays de la Loire;55 772
Saumur;49;Pays de la Loire;28 554
Sèvremoine;49;Pays de la Loire;26 239
Cherbourg-en-Cotentin;50;Normandie;82 578
Châlons-en-Champagne;51;Grand Est;46 288
Reims;51;Grand Est;187 074
Saint-Dizier;52;Grand Est;25 666
Laval;53;Pays de la Loire;52 359
Nancy;54;Grand Est;106 953
Vandœuvre-lès-Nancy;54;Grand Est;30 502
Lorient;56;Bretagne;58 789
Vannes;56;Bretagne;55 573
Metz;57;Grand Est;119 856
Thionville;57;Grand Est;41 396
Nevers;58;Bourgogne-Franche-Comté;34 799
Armentières;59;Hauts-de-France;25 373
Cambrai;59;Hauts-de-France;33 349
Douai;59;Hauts-de-France;40 860
Dunkerque;59;Hauts-de-France;89 485
Lambersart;59;Hauts-de-France;28 027
Lille;59;Hauts-de-France;236 782
Marcq-en-Barœul;59;Hauts-de-France;39 697
Maubeuge;59;Hauts-de-France;29 995
Roubaix;59;Hauts-de-France;96 953
Tourcoing;59;Hauts-de-France;98 170
Valenciennes;59;Hauts-de-France;44 509
Villeneuve-d'Ascq;59;Hauts-de-France;63 085
Wattrelos;59;Hauts-de-France;41 570
Beauvais;60;Hauts-de-France;57 548
Compiègne;60;Hauts-de-France;41 660
Creil;60;Hauts-de-France;36 091
Alençon;61;Normandie;27 221
Arras;62;Hauts-de-France;41 973
Béthune;62;Hauts-de-France;25 753
Boulogne-sur-Mer;62;Hauts-de-France;42 293
Calais;62;Hauts-de-France;75 719
Hénin-Beaumont;62;Hauts-de-France;26 260
Lens;62;Hauts-de-France;31 080
Liévin;62;Hauts-de-France;31 337
